OBJECTID,RCSTA,RC Code,Roadway Name,Station Start,Station End,Functional Class,Factor Group,Specific Recorder Placement,Channel Notes,Vehicle Axle Code,Count Year,Count Month,Day of First Data,Federal Direction,Full Count,1200am-0100am,0100am-0200am,0200am-0300am,0300am-0400am,0400am-0500am,0500am-0600am,0600am-0700am,0700am-0800am,0800am-0900am,0900am-1000am,1000am-1100am,1100am-1200pm,1200pm-0100pm,0100pm-0200pm,0200pm-0300pm,0300pm-0400pm,0400pm-0500pm,0500pm-0600pm,0600pm-0700pm,0700pm-0800pm,0800pm-0900pm,0900pm-1000pm,1000pm-1100pm,1100pm-1200pm,Average Weekday Daily Traffic,Seasonal Factor,Axle Factor,AADT,High Hour Value,High Hour Interval,Average Weekday F1S,Average Weekday F2S,Average Weekday F3S,Average Weekday F4S,Average Weekday F5S,Average Weekday F6S,Average Weekday F7S,Average Weekday F8S,Average Weekday F9S,Average Weekday F10S,Average Weekday F11S,Average Weekday F12S,Average Weekday F13S,Average Weekday Unclassified,Average Weekday Totals,Average Weekday Percent F3_13,Average Weekday Percent F4_13,Average Weekday Percent F4_7,Average Weekday Percent F8_13,Average Weekday Percent F1,Average Weekday Percent F2,Average Weekday Percent F3,Average Weekday Percent F4,Average Weekday Percent F5_7,Axle Correction Factor,Single Unit Peak,Combination Unit Peak,Single Unit AADT,Combination Unit AADT,Average Speed,50th Percentile Speed,85th Percentile Speed,Vehicles Exceeding 55mph,Vehicles Exceeding 65mph,Region,Region Number,County Number,Municipality,Latitude,Longitude,x,y
30866660,366063,36,DODGE RD,ELLIS HOLLOW R,STEVENSON RD,9,40,514 ' S of Stevenson Rd.    ,SB travel lane                                    ,1,2016,8,23,Southbound,,0,0,0,0,0,0,0,4,6,3,2,4,4,3,3,4,4,2,4,2,1,0,1,1,48,1.186,1,40,6,8,4,34,8,0,0,0,0,0,0,0,0,0,0,,46,17,0,0,0,9,74,17,0,0,1,0,0,,,23,26,32,0,0,,3,6,,42.44272,-76.44332,381298.6514999997,4699941.896500001
30866661,366063,36,DODGE RD,ELLIS HOLLOW R,STEVENSON RD,9,40,514 ' S of Stevenson Rd.    ,,1,2016,8,23,Combined Total,Y,0,0,0,0,0,1,1,10,12,6,5,6,8,7,5,7,8,4,5,4,2,1,1,1,94,1.186,1,79,12,9,6,64,17,0,0,0,0,0,0,0,0,0,0,,87,20,0,0,0,7,74,20,0,0,1,0,0,,,24,27,33,0,0,,3,6,,42.44272,-76.44332,381298.6514999997,4699941.896500001
30866738,366121,36,TURKEY HILL RD,ELLIS HOLW RD,STEVENSON RD,9,40,261' S of Ellis Hollow Creek,NB travel lane                                    ,1,2016,8,23,Northbound,,5,3,2,2,3,11,34,84,93,60,49,42,58,48,46,81,83,80,46,42,24,19,14,5,934,1.186,1,788,93,9,6,744,143,2,22,3,0,7,3,0,0,0,0,,930,19,4,3,1,1,80,15,0,3,1,0,0,,,47,49,56,18,2,,3,6,,42.44174,-76.42885,382486.8821999999,4699812.9428
30866739,366121,36,TURKEY HILL RD,ELLIS HOLW RD,STEVENSON RD,9,40,261' S of Ellis Hollow Creek,SB travel lane                                    ,1,2016,8,23,Southbound,,5,1,3,2,2,3,24,36,62,49,41,42,51,46,57,74,99,120,65,49,38,32,13,14,928,1.186,1,782,120,18,11,741,143,5,14,3,0,3,0,0,0,0,0,,920,18,3,2,0,1,81,16,1,2,1,0,0,,,47,50,56,19,1,,3,6,,42.44174,-76.42885,382486.8821999999,4699812.9428
30866740,366121,36,TURKEY HILL RD,ELLIS HOLW RD,STEVENSON RD,9,40,261' S of Ellis Hollow Creek,,1,2016,8,23,Combined Total,Y,10,4,5,4,5,14,58,120,155,109,90,84,109,94,103,155,182,200,111,91,62,51,27,19,1862,1.186,1,1570,200,18,17,1485,286,7,36,6,0,10,3,0,0,0,0,,1850,19,3,3,1,1,80,15,0,2,1,0,0,,,47,49,56,19,1,,3,6,,42.44174,-76.42885,382486.8821999999,4699812.9428
30867079,368310,36,WARREN RD,FOREST HOME DR,HANSHAW RD,16,30,470' N of Fairway Dr.       ,NB travel lane                                    ,1,2016,8,29,Northbound,,16,9,5,3,4,11,44,80,117,83,79,84,102,89,117,123,231,277,156,84,58,45,45,21,1883,1.089,1,1729,277,18,6,1688,163,0,15,1,0,1,0,0,0,0,0,,1874,10,1,1,0,0,90,9,0,1,1,0,0,,,22,23,28,0,0,,3,6,,42.45646,-76.46847,379256.6255000001,4701503.0757
30867080,368310,36,WARREN RD,FOREST HOME DR,HANSHAW RD,16,30,470' N of Fairway Dr.       ,SB travel lane                                    ,1,2016,8,29,Southbound,,5,2,1,3,6,21,46,194,267,204,114,106,94,117,79,121,135,132,94,65,47,29,21,16,1919,1.089,1,1762,277,18,7,1721,165,0,27,0,0,0,0,0,0,0,0,,1920,10,1,1,0,0,90,9,0,1,1,0,0,,,26,27,32,0,0,,3,6,,42.45646,-76.46847,379256.6255000001,4701503.0757
30867081,368310,36,WARREN RD,FOREST HOME DR,HANSHAW RD,16,30,470' N of Fairway Dr.       ,,1,2016,8,29,Combined Total,Y,21,11,6,6,10,32,90,274,384,287,193,190,196,206,196,244,366,409,250,149,105,74,66,37,3802,1.089,1,3491,409,18,13,3409,328,0,42,1,0,1,0,0,0,0,0,,3794,10,1,1,0,0,90,9,0,1,1,0,0,,,24,25,30,0,0,,3,6,,42.45646,-76.46847,379256.6255000001,4701503.0757
30870256,364036,36,E STATE ST,AUORA ST,SENECA ST/GREEN ST SPLIT,16,30,113' W of Seneca Way        ,EB travel lane                                    ,1,2016,9,27,Eastbound,,19,17,9,7,4,18,45,68,95,88,79,88,92,83,82,77,105,123,108,94,79,76,57,35,1548,1.074,1,1441,123,18,1,1403,103,4,13,0,1,0,0,0,0,0,0,,1525,8,1,1,0,0,92,7,0,1,1,0,0,,,14,12,20,0,0,,3,6,,42.43956,-76.49466,377070.0893000001,4699664.080600001
30870257,364036,36,E STATE ST,AUORA ST,SENECA ST/GREEN ST SPLIT,16,30,113' W of Seneca Way        ,Wb travel lane                                    ,1,2016,9,27,Westbound,,48,41,21,19,26,29,104,206,324,279,272,306,333,328,348,411,401,424,362,317,249,202,142,87,5279,1.074,1,4915,424,18,22,4634,462,46,71,12,3,6,1,0,0,0,0,,5257,11,3,3,0,0,88,9,1,2,1,0,0,,,15,13,22,0,0,,3,6,,42.43956,-76.49466,377070.0893000001,4699664.080600001
